id,easting,northing,heading,color
1,252924,7044089,-59,red
2,246135,7051000,122,green
3,252599,7044493,-23,red
4,246477,7050761,122,green
5,252347,7044970,-26,red
6,246823,7050523,117,green
7,252076,7045439,-28,red
8,247185,7050306,114,green
9,251792,7045902,-29,red
10,247555,7050101,113,green
11,251502,7046362,-29,red
12,247928,7049900,113,green
13,251212,7046821,-29,red
14,248301,7049700,113,green
15,250921,7047281,-29,red
16,248675,7049499,113,green
17,250630,7047742,-29,red
18,249048,7049296,114,green
19,250339,7048203,-29,red
20,249420,7049092,114,green
21,250022,7048644,-41,red
22,249779,7048867,125,green
23,249767,7049102,-69,red
24,250090,7048579,135,green
25,249251,7049287,-69,red
26,250355,7048249,141,green
27,248741,7049483,-60,red
28,250593,7047897,144,green
29,248252,7049729,-57,red
30,250817,7047537,145,green
31,247775,7049995,-56,red
32,251035,7047173,145,green
33,247302,7050267,-56,red
34,251253,7046808,145,green
35,246828,7050539,-56,red
36,251472,7046445,145,green
37,246355,7050809,-56,red
38,251692,7046082,144,green
39,245880,7051079,-56,red
40,251914,7045720,144,green
41,245406,7051348,-57,red
42,252136,7045359,144,green
43,244931,7051617,-57,red
44,252360,7044998,144,green
45,244456,7051885,-57,red
46,252585,7044638,144,green
47,252775,7044493,69,green
48,253206,7044503,74,green
49,253617,7044615,64,green
50,254005,7044790,59,green
51,254378,7044993,57,green
52,254744,7045208,56,green
53,255107,7045429,55,green
54,255468,7045652,55,green
55,255828,7045875,55,green
56,256188,7046099,55,green
